OBJECTID,ID,NAME,STATE_NAME,ST_ABBREV,AREA,ACSTOTPOP,ACSTOTHH,ACSMEDHINC,ACSAVGHINC,ACSPCI,Shape_Length,Shape_Area,DenstiySqmi,DiffIncome,NameLong,NameShort,NameArea,IncomeLevel,VertexCount
27,17119,Madison County,Illinois,IL,740.55826,268005,106867,51941,64369,26127,254296.86725527613,3165202423.4974427,361.8959026937327,12428.0,"Madison County, Illinois",Madison,Madison County (Area: 740.55826 SqMi),Middle Income,2237
28,17121,Marion County,Illinois,IL,576.03365,39722,16148,38974,49518,20493,199213.06648870787,2449714637.0641637,68.95777703264385,10544.0,"Marion County, Illinois",Marion,Marion County (Area: 576.03365 SqMi),Middle Income,1425
29,17133,Monroe County,Illinois,IL,398.0342,32431,12391,68253,82279,31091,196514.18718834742,1675548887.6781044,81.47792325383095,14026.0,"Monroe County, Illinois",Monroe,Monroe County (Area: 398.0342 SqMi),High Income,939
30,17135,Montgomery County,Illinois,IL,709.67328,30230,11698,40864,55128,21700,275941.0093413656,3067555673.801825,42.5970666388905,14264.0,"Montgomery County, Illinois",Montgomery,Montgomery County (Area: 709.67328 SqMi),Middle Income,2174
31,17137,Morgan County,Illinois,IL,572.29402,35755,14003,44645,56934,23244,246951.87120477133,2508147207.492709,62.476626961784426,12289.0,"Morgan County, Illinois",Morgan,Morgan County (Area: 572.29402 SqMi),Middle Income,771
32,17139,Moultrie County,Illinois,IL,344.47567,14723,5627,46364,57779,22954,174901.1282415901,1506493892.2559645,42.74031893166795,11415.0,"Moultrie County, Illinois",Moultrie,Moultrie County (Area: 344.47567 SqMi),Middle Income,791
33,17145,Perry County,Illinois,IL,446.95098,22488,8268,40696,47581,17926,195019.50834992985,1871509093.010118,50.3142425149174,6885.0,"Perry County, Illinois",Perry,Perry County (Area: 446.95098 SqMi),Middle Income,2299
34,17149,Pike County,Illinois,IL,848.88147,16580,6648,40205,49558,19996,283214.67541789636,3710399254.939532,19.531584309408945,9353.0,"Pike County, Illinois",Pike,Pike County (Area: 848.88147 SqMi),Middle Income,1421
35,17151,Pope County,Illinois,IL,374.30089,4426,1847,39672,47291,20134,206515.70256980153,1539378610.4889238,11.824711397293232,7619.0,"Pope County, Illinois",Pope,Pope County (Area: 374.30089 SqMi),Middle Income,963
36,17157,Randolph County,Illinois,IL,597.2024,33567,11999,45020,53566,19950,244553.11618786157,2498514920.152551,56.20707485435423,8546.0,"Randolph County, Illinois",Randolph,Randolph County (Area: 597.2024 SqMi),Middle Income,2183
37,17159,Richland County,Illinois,IL,361.89517,16166,6675,41917,54481,22874,180464.00997023363,1541718637.087415,44.6703944680997,12564.0,"Richland County, Illinois",Richland,Richland County (Area: 361.89517 SqMi),Middle Income,1544
38,17163,St. Clair County,Illinois,IL,674.03064,266727,103084,48562,61917,24770,236120.4430243239,2852326147.914299,395.7193993436263,13355.0,"St. Clair County, Illinois",St. Clair,St. Clair County (Area: 674.03064 SqMi),Middle Income,1760
39,17165,Saline County,Illinois,IL,386.77818,25171,10583,35644,48567,20903,160877.2130267936,1605177897.0101066,65.07864533619761,12923.0,"Saline County, Illinois",Saline,Saline County (Area: 386.77818 SqMi),Middle Income,935
40,17167,Sangamon County,Illinois,IL,877.01599,195288,81968,52232,66757,28394,309181.0365514862,3848350277.0124164,222.6732490932121,14525.0,"Sangamon County, Illinois",Sangamon,Sangamon County (Area: 877.01599 SqMi),Middle Income,2716
41,17171,Scott County,Illinois,IL,252.77002,5374,2140,49462,67258,27530,145716.06082509356,1105520633.0765364,21.26043270479624,17796.0,"Scott County, Illinois",Scott,Scott County (Area: 252.77002 SqMi),Middle Income,662
42,17173,Shelby County,Illinois,IL,768.06651,22362,9035,44627,52893,21891,275286.56475265714,3335061264.523196,29.11466612442196,8266.0,"Shelby County, Illinois",Shelby,Shelby County (Area: 768.06651 SqMi),Middle Income,2003
43,17181,Union County,Illinois,IL,422.14624,17959,7062,39760,50227,19512,188276.72148312506,1738834519.5652711,42.5421294762687,10467.0,"Union County, Illinois",Union,Union County (Area: 422.14624 SqMi),Middle Income,886
44,17189,Washington County,Illinois,IL,563.9039,14841,6057,51440,60128,24846,246466.3993513138,2378564393.6053166,26.318314166651444,8688.0,"Washington County, Illinois",Washington,Washington County (Area: 563.9039 SqMi),Middle Income,2599
45,17191,Wayne County,Illinois,IL,715.48341,16846,7212,39207,49841,21493,221471.81986662588,3024350280.7981944,23.54492048949115,10634.0,"Wayne County, Illinois",Wayne,Wayne County (Area: 715.48341 SqMi),Middle Income,1181
46,17193,White County,Illinois,IL,501.85891,14800,6464,39728,49599,22081,242324.2335502019,2101640321.6423314,29.49036014922999,9871.0,"White County, Illinois",White,White County (Area: 501.85891 SqMi),Middle Income,1605
47,17199,Williamson County,Illinois,IL,444.34993,65579,26324,40579,52853,22164,173188.89740640915,1842973023.0897489,147.5841348731618,12274.0,"Williamson County, Illinois",Williamson,Williamson County (Area: 444.34993 SqMi),Middle Income,1220
48,17001,Adams County,Illinois,IL,871.33516,67030,27149,43824,58516,24308,251926.94877616627,3848920797.0557494,76.92791829954389,14692.0,"Adams County, Illinois",Adams,Adams County (Area: 871.33516 SqMi),Middle Income,1330
49,17007,Boone County,Illinois,IL,282.02358,53567,17908,61210,76279,26105,154965.20907582724,1337064999.3266785,189.93801865787253,15069.0,"Boone County, Illinois",Boone,Boone County (Area: 282.02358 SqMi),High Income,707
50,17009,Brown County,Illinois,IL,307.20389,6897,2139,38696,54754,17133,174462.6738244963,1355967058.0192826,22.45088758478937,16058.0,"Brown County, Illinois",Brown,Brown County (Area: 307.20389 SqMi),Middle Income,1123
51,17011,Bureau County,Illinois,IL,873.5002,35083,14580,45692,57609,24103,282590.50705900264,4024757745.0088553,40.16370001975959,11917.0,"Bureau County, Illinois",Bureau,Bureau County (Area: 873.5002 SqMi),Middle Income,1713
52,17015,Carroll County,Illinois,IL,466.35816,15615,7010,44805,58301,25914,215047.6436918526,2193381391.450636,33.482849319072706,13496.0,"Carroll County, Illinois",Carroll,Carroll County (Area: 466.35816 SqMi),Middle Income,1049
53,17017,Cass County,Illinois,IL,383.76338,13648,5057,41544,51271,19825,240742.92598676227,1694470115.2206814,35.56358087110865,9727.0,"Cass County, Illinois",Cass,Cass County (Area: 383.76338 SqMi),Middle Income,1706
54,17019,Champaign County,Illinois,IL,998.38871,197867,77851,45262,61218,24553,270345.17599021964,4429758031.276354,198.18633566078688,15956.0,"Champaign County, Illinois",Champaign,Champaign County (Area: 998.38871 SqMi),Middle Income,1416
55,17031,Cook County,Illinois,IL,957.86633,5172848,1936481,53942,76091,29335,410214.8970587703,4473184571.175031,5400.386085185811,22149.0,"Cook County, Illinois",Cook,Cook County (Area: 957.86633 SqMi),Middle Income,7375
56,17037,DeKalb County,Illinois,IL,634.65737,104026,37825,54002,65529,24179,235242.06654780667,2968706852.145992,163.90891356071387,11527.0,"DeKalb County, Illinois",DeKalb,DeKalb County (Area: 634.65737 SqMi),Middle Income,1017
57,17039,De Witt County,Illinois,IL,405.08263,16672,6811,45347,58489,24320,185448.86537865904,1799112123.2970169,41.157035047392675,13142.0,"De Witt County, Illinois",De Witt,De Witt County (Area: 405.08263 SqMi),Middle Income,1247
58,17043,DuPage County,Illinois,IL,336.41012,911481,335453,76581,101724,37849,166163.9536582312,1571564790.1195908,2709.433949252181,25143.0,"DuPage County, Illinois",DuPage,DuPage County (Area: 336.41012 SqMi),High Income,3096
59,17053,Ford County,Illinois,IL,486.23958,14113,5638,48667,57418,23401,292302.9691032492,2186637511.570137,29.024786505450667,8751.0,"Ford County, Illinois",Ford,Ford County (Area: 486.23958 SqMi),Middle Income,1097
60,17057,Fulton County,Illinois,IL,882.56979,37205,14673,41268,50446,20309,263774.10169723094,3954336224.553102,42.15530649423203,9178.0,"Fulton County, Illinois",Fulton,Fulton County (Area: 882.56979 SqMi),Middle Income,1304
61,17063,Grundy County,Illinois,IL,430.44532,48744,17961,64297,74209,27895,180182.7853734272,1976141442.2544765,113.24086413577456,9912.0,"Grundy County, Illinois",Grundy,Grundy County (Area: 430.44532 SqMi),High Income,1282
62,17067,Hancock County,Illinois,IL,814.39292,19227,8012,42857,53894,22885,253450.00704451365,3641440112.0610223,23.608996993736145,11037.0,"Hancock County, Illinois",Hancock,Hancock County (Area: 814.39292 SqMi),Middle Income,1237
63,17071,Henderson County,Illinois,IL,395.2181,7462,3246,43450,51413,22492,201589.99851017966,1789039001.6975071,18.880714218301236,7963.0,"Henderson County, Illinois",Henderson,Henderson County (Area: 395.2181 SqMi),Middle Income,1343
64,17073,Henry County,Illinois,IL,825.64008,50477,20433,49164,60985,24915,249987.34223546725,3798322027.8391347,61.13680915296651,11821.0,"Henry County, Illinois",Henry,Henry County (Area: 825.64008 SqMi),Middle Income,1396
65,17085,Jo Daviess County,Illinois,IL,618.72594,22728,10001,50279,61591,26819,239512.68983595987,2937308525.943051,36.733549590631355,11312.0,"Jo Daviess County, Illinois",Jo Daviess,Jo Daviess County (Area: 618.72594 SqMi),Middle Income,1022
66,17089,Kane County,Illinois,IL,524.19871,502628,168980,67767,86358,29480,210801.6900367847,2455475786.5660925,958.8501276548353,18591.0,"Kane County, Illinois",Kane,Kane County (Area: 524.19871 SqMi),High Income,2188
67,17091,Kankakee County,Illinois,IL,681.36072,112100,40943,50484,61006,22888,247788.15127504856,3114113845.762289,164.52371953581357,10522.0,"Kankakee County, Illinois",Kankakee,Kankakee County (Area: 681.36072 SqMi),Middle Income,1382
68,17093,Kendall County,Illinois,IL,322.31886,105602,35687,79897,90109,30565,154573.9612238758,1493626711.9290884,327.63208457612444,10212.0,"Kendall County, Illinois",Kendall,Kendall County (Area: 322.31886 SqMi),High Income,1388
69,17095,Knox County,Illinois,IL,719.80861,52932,21863,39545,50000,20908,230378.89421573674,3269495993.3484383,73.5362140222246,10455.0,"Knox County, Illinois",Knox,Knox County (Area: 719.80861 SqMi),Middle Income,1201
70,17097,Lake County,Illinois,IL,470.78023,697179,239246,78948,108987,38120,208637.40418680222,2231969644.385497,1480.9011839770756,30039.0,"Lake County, Illinois",Lake,Lake County (Area: 470.78023 SqMi),High Income,3111
71,17099,LaSalle County,Illinois,IL,1148.13142,113789,45326,51705,61765,24982,335367.11955009744,5280499944.596763,99.10799235857512,10060.0,"LaSalle County, Illinois",LaSalle,LaSalle County (Area: 1148.13142 SqMi),Middle Income,2165
72,17103,Lee County,Illinois,IL,728.94993,36100,13731,48502,61205,24440,256086.97595290936,3394208062.5903273,49.52329167519091,12703.0,"Lee County, Illinois",Lee,Lee County (Area: 728.94993 SqMi),Middle Income,1240
73,17105,Livingston County,Illinois,IL,1045.92337,39010,14630,50500,60135,23259,298525.95356324327,4745031068.931098,37.297187460301224,9635.0,"Livingston County, Illinois",Livingston,Livingston County (Area: 1045.92337 SqMi),Middle Income,1522
74,17107,Logan County,Illinois,IL,618.92381,30440,10981,48999,59137,22063,219786.32809058344,2744847966.2673793,49.18214408329193,10138.0,"Logan County, Illinois",Logan,Logan County (Area: 618.92381 SqMi),Middle Income,1277
75,17109,McDonough County,Illinois,IL,590.18212,32730,12923,33702,45049,18344,205774.74826150414,2642992324.596491,55.457457775914996,11347.0,"McDonough County, Illinois",McDonough,McDonough County (Area: 590.18212 SqMi),Low Income,958
76,17111,McHenry County,Illinois,IL,610.81043,306050,108106,76482,89318,31838,215784.49155004072,2895953024.605159,501.055622118306,12836.0,"McHenry County, Illinois",McHenry,McHenry County (Area: 610.81043 SqMi),High Income,1130
77,17113,McLean County,Illinois,IL,1186.26492,166706,63145,57642,72266,28167,317780.9619527936,5317872716.542049,140.530160834563,14624.0,"McLean County, Illinois",McLean,McLean County (Area: 1186.26492 SqMi),Middle Income,1674
78,17123,Marshall County,Illinois,IL,398.51257,12763,5160,49116,58911,24991,206680.31535893938,1815630475.850569,32.026593289140166,9795.0,"Marshall County, Illinois",Marshall,Marshall County (Area: 398.51257 SqMi),Middle Income,1167
79,17125,Mason County,Illinois,IL,563.4615,14921,6475,42461,54909,23427,333810.4064387349,2507300951.5231876,26.480957438973203,12448.0,"Mason County, Illinois",Mason,Mason County (Area: 563.4615 SqMi),Middle Income,3052
